2441, w, 2135, 3972
4593, B, 2674, 4359
327, U, 4922, 2884
3580, j, 3113, 4217
344, b, 4384, 1625
4487, R, 511, 2400
722, h, 2386, 1251
4719, F, 4818, 1278
1974, w, 3554, 4601
3789, v, 1363, 3143
854, D, 393, 754
4255, p, 3777, 2097
4054, i, 2621, 593
2053, f, 4194, 3500
4699, R, 4032, 2267
3583, E, 4925, 1765
888, u, 3558, 276
1050, R, 3289, 1360
1259, j, 4724, 1766
2450, Q, 4550, 2168
2450, L, 4044, 1237
629, H, 2071, 1502
2700, p, 2004, 175
4418, P, 826, 17
2289, C, 288, 546
36, n, 3029, 576
4080, d, 1252, 1260
1928, S, 4973, 1846
1759, c, 660, 1960
4141, W, 3088, 890
23, T, 4520, 222
2030, F, 2964, 1075
3394, n, 1484, 4045
817, M, 571, 3724
4910, j, 2305, 4221
2979, a, 4709, 4069
2286, R, 3614, 3901
2257, u, 4103, 1777
4388, G, 2089, 4581
2542, O, 912, 4842
466, l, 828, 438
3235, J, 3369, 4709
324, Q, 4130, 1179
3364, B, 3453, 1445
3714, u, 574, 1016
3794, A, 1271, 1798
3808, k, 2738, 3214
4675, G, 3600, 1506
486, z, 2252, 1354
4801, f, 4339, 2033
4216, D, 4184, 2070
3974, M, 2618, 3677
4948, Q, 4839, 407
4219, Q, 1791, 1443
30, a, 3123, 158
3193, O, 1229, 172
2195, f, 3323, 1130
810, W, 49, 3055
4997, s, 2316, 189
3392, f, 3963, 3699
775, v, 1802, 1869
833, z, 3414, 500
3260, U, 1226, 3661
335, Z, 3500, 3520
1211, W, 1890, 820
2891, Z, 2076, 4986
4921, j, 706, 3186
4526, h, 4284, 2742
2350, y, 4187, 3211
4332, W, 4169, 1440
4710, o, 661, 4771
2415, e, 161, 1908
2312, R, 4620, 3297
691, b, 2177, 4734
4606, Z, 131, 599
4462, N, 288, 2654
1264, M, 1360, 4504
2525, Y, 4804, 981
4123, J, 3315, 5000
1491, a, 1154, 142
4903, j, 3382, 115
2098, w, 3399, 1189
1267, b, 1993, 1259
1895, g, 4971, 1166
2233, x, 4071, 2182
2128, Q, 3220, 98
1484, g, 4765, 395
567, d, 2932, 2195
4757, L, 2849, 4457
339, D, 1296, 3106
4855, g, 4461, 2570
3403, o, 1197, 3074
3393, O, 3751, 4421
36, L, 2599, 3699
1108, s, 1918, 312
653, A, 3051, 2657
2774, u, 570, 2114
292, g, 3104, 3642
4046, V, 4951, 3442
2548, t, 1587, 294
4387, Y, 2843, 4461
4060, I, 2549, 1059
2795, z, 1733, 4852
2391, k, 2253, 844
2568, X, 2777, 2124
1917, n, 1094, 2784
1650, h, 3233, 3708
679, C, 4068, 210
1890, e, 2271, 3001
1767, l, 4198, 3363
3335, R, 2076, 758
1252, N, 2546, 372
3169, F, 2151, 2678
2245, e, 2814, 4968
1379, i, 2888, 687
4129, R, 4298, 4386
3925, m, 4469, 3012
4967, U, 3186, 4412
3368, n, 813, 2781
2365, X, 1300, 3536
249, B, 4868, 268
776, w, 3967, 380
3035, P, 1552, 4901
4171, i, 3920, 786
4606, T, 2480, 2945
4228, I, 74, 3046
4527, e, 3126, 2943
3185, t, 1034, 1035
3006, c, 2896, 7
1225, p, 1970, 3577
4700, B, 83, 286
1106, h, 4215, 3837
3253, W, 3095, 1544
871, W, 4411, 405
712, K, 1940, 3548
3332, U, 1131, 4163
4703, i, 3773, 1084
4622, B, 3739, 2771
2318, q, 4447, 1508
416, z, 624, 4281
2579, k, 3654, 2599
1318, z, 2022, 47
627, N, 4672, 3830
1932, V, 2700, 1764
1848, e, 2292, 3282
2162, O, 3005, 3899
4966, t, 2746, 2076
253, J, 807, 333
4598, r, 3600, 3299
482, d, 3517, 1217
4587, U, 776, 3813
434, d, 3315, 4752
3690, I, 2855, 3442
4062, C, 2605, 1025
2448, l, 2762, 2761
1201, n, 103, 2090
3232, y, 4436, 129
3269, R, 1978, 1170
3275, X, 15, 524
4755, u, 2970, 3706
3392, Q, 2331, 3630
1104, D, 234, 470
2821, m, 4268, 4326
4830, Q, 4478, 2163
732, H, 1482, 288
2800, w, 1636, 559
4070, p, 3659, 1895
1183, l, 3185, 2675
191, s, 4237, 1749
2794, b, 63, 1550
2103, M, 2574, 3586
4868, h, 1932, 4543
3413, n, 2212, 920
3710, o, 4233, 2968
3895, B, 3073, 3905
364, q, 2569, 3080
2975, u, 2076, 4764
1642, A, 4355, 1026
2123, S, 386, 3427
3900, D, 2875, 4557
3856, S, 2078, 4834
1936, m, 4051, 707
1987, x, 248, 1936
2603, D, 1669, 4778
2067, U, 120, 2607
1066, g, 1318, 4907
1604, a, 3513, 3656
1584, y, 3588, 461
4837, Y, 2139, 1098
705, g, 1522, 1186
1559, N, 4467, 1048
1167, H, 3107, 4466
1340, h, 1219, 1817
4290, V, 2100, 1094
3385, B, 51, 1497
4531, E, 2565, 75
4252, G, 1366, 2570
4042, Z, 455, 4632
2116, l, 3174, 1930
2192, R, 199, 2912
